Source,Target,Weight
acqua,neiperte,10
acqua,achiena,20
funnyvideos,foryou,1
funnyvideos,couplegoals,6
funnyvideos,funny,16
funnyvideos,comedy,1
funnyvideos,viralvideos,2
funnyvideos,relatable,1
funnyvideos,viral,1
funnyvideos,viralvideo,2
funnyvideos,fyp,3
funnyvideos,travel,7
funnyvideos,videoviral,1
funnyvideos,perte,2
funnyvideos,fypシ,1
seriea,football,1
seriea,immobile,7
seriea,edit,6
seriea,viral,6
seriea,tiktokfootball,28
seriea,calcio,2
seriea,italia,1
seriea,roma,1
seriea,perte,1
seriea,tiktokcalcio,20
foryou,couplegoals,1
foryou,neipertee,1
foryou,funny,1
foryou,outfit,5
foryou,virale,1
foryou,football,5
foryou,biker,1
foryou,mamma,9
foryou,capcut,7
foryou,neiperte,6
foryou,empatia,5
foryou,humour,39
foryou,gymtok,1
foryou,edit,8
foryou,ironia,2
foryou,viralvideos,1
foryou,voliamoneiperte,1
foryou,pov,1
foryou,viral,38
foryou,trending,4
foryou,viralvideo,4
foryou,puglia,1
foryou,tiktok,5
foryou,fyp,65
foryou,fy,5
foryou,girls,4
foryou,lavoro,1
foryou,andiamoneiperte,10
foryou,car,1
foryou,viral_video,1
foryou,videoviral,1
foryou,foru,2
foryou,roma,1
foryou,ai,3
foryou,perte,49
foryou,fypシ,3
foryou,pourtoi,39
foryou,trend,6
foryou,foryoupage,27
agv,virale,8
agv,ducati,8
agv,biker,8
agv,bikersoftiktok,16
concertoultimo,ultimostadi2025,8
concertoultimo,ultimo,8
jet2holidays,viralvideos,1
jet2holidays,fyp,19
jet2holidays,travel,3
jet2holidays,pourtoi,8
perteeee,neipertee,1
perteeee,meme,1
perteeee,virale,18
perteeee,amore,1
perteeee,neiperte,1
perteeee,voliamoneiperte,6
perteeee,viral,1
perteeee,viralvideotiktok,7
perteeee,summer,4
perteeee,fyp,10
perteeee,love,1
perteeee,andiamoneiperte,1
perteeee,loveyou,1
perteeee,humor,1
perteeee,milano,3
perteeee,foru,5
perteeee,perte,4
perteeee,trend,1
perteeee,foryoupage,1
couplegoals,funny,6
couplegoals,amore,8
couplegoals,love,14
couplegoals,perte,1
couplegoals,matrimonio,1
neipertee,meme,1
neipertee,capcut,7
neipertee,ironia,1
neipertee,neiperteee,1
neipertee,viralvideo,1
neipertee,fyp,3
neipertee,fy,1
neipertee,travel,1
neipertee,love,1
neipertee,andiamoneiperte,3
neipertee,lazza,1
neipertee,viral_video,1
neipertee,perte,3
neipertee,fypシ,7
funny,meme,3
funny,biker,1
funny,neiperte,1
funny,edit,1
funny,comedy,3
funny,ironia,2
funny,viralvideos,2
funny,pov,1
funny,videoai,9
funny,relatable,1
funny,viral,2
funny,trending,1
funny,viralvideo,2
funny,fyp,27
funny,travel,7
funny,love,6
funny,viral_video,1
funny,videoviral,1
funny,humor,1
funny,perte,2
funny,duo,4
funny,fypシ,4
funny,trend,1
funny,skibidiboppi,9
estate,meme,2
estate,amiche,6
estate,viral,1
estate,puglia,10
estate,summer,10
estate,fyp,2
estate,travel,1
estate,foru,1
estate,ai,1
estate,perte,2
estate,trend,1
estate,skibidiboppi,1
meme,capcut,8
meme,straykids,1
meme,amore,1
meme,immobile,7
meme,ironia,1
meme,relatable,1
meme,viral,3
meme,trending,1
meme,tiktok,3
meme,fyp,15
meme,viral_video,1
meme,italia,1
meme,ai,9
meme,perte,10
meme,trend,1
meme,tiktokcalcio,7
meme,forzanapoli,9
outfit,viral,1
outfit,fyp,1
outfit,perte,5
outfit,outfitinspo,11
virale,ducati,8
virale,biker,8
virale,mamma,2
virale,capcut,1
virale,davedere,1
virale,neiperte,4
virale,ultimopeterpan,5
virale,ironia,1
virale,viralvideos,3
virale,voliamoneiperte,15
virale,viral,15
virale,viralvideotiktok,7
virale,viralvideo,1
virale,summer,4
virale,fyp,16
virale,fy,17
virale,travel,1
virale,tiktokviral,1
virale,andiamoneiperte,9
virale,viral_video,9
virale,ai,1
virale,perte,40
virale,trend,1
virale,bikersoftiktok,8
football,viral,6
football,fyp,13
football,calcio,3
football,foru,1
football,roma,1
football,perte,2
football,tiktokcalcio,2
amiche,pov,4
ducati,biker,8
ducati,bikersoftiktok,8
biker,tiktok,1
biker,trend,1
biker,bikersoftiktok,10
mamma,straykids,1
mamma,neiperte,9
mamma,comedy,8
mamma,ironia,2
mamma,viralvideos,9
mamma,tiktok,1
mamma,fyp,6
mamma,viral_video,7
mamma,perte,25
mamma,duo,1
mamma,skibidiboppi,1
capcut,davedere,3
capcut,edit,2
capcut,pov,1
capcut,viral,10
capcut,viralvideo,1
capcut,tiktok,1
capcut,fyp,9
capcut,viral_video,1
capcut,milano,3
capcut,italia,2
capcut,ai,1
capcut,perte,3
capcut,fypシ,7
capcut,pourtoi,2
capcut,trend,2
capcut,gym,1
capcut,foryoupage,4
davedere,viralvideos,1
davedere,pov,1
davedere,fyp,1
davedere,italia,1
davedere,gym,1
davedere,temptationisland,9
davedere,verissimo,15
straykids,neiperte,1
straykids,tiktok,1
amore,neiperte,8
amore,comedy,8
amore,ironia,1
amore,pov,1
amore,janniksinner,1
amore,love,10
amore,napoli,2
amore,viral_video,1
amore,roma,1
amore,perte,3
immobile,tiktokfootball,14
immobile,tiktokcalcio,7
risposte,lavoro,7
neiperte,edit,2
neiperte,comedy,8
neiperte,ironia,1
neiperte,viralvideos,2
neiperte,voliamoneiperte,4
neiperte,viral,17
neiperte,neiperteee,1
neiperte,viralvideo,1
neiperte,tiktokfootball,1
neiperte,fyp,25
neiperte,fy,1
neiperte,napoli,6
neiperte,andiamoneiperte,3
neiperte,loveyou,10
neiperte,italia,1
neiperte,roma,2
neiperte,perte,48
neiperte,duo,1
neiperte,tiktokcalcio,1
neiperte,achiena,20
empatia,perte,5
humour,pourtoi,39
gymtok,viralvideos,1
gymtok,viral,1
gymtok,fyp,23
gymtok,sinner,1
gymtok,tennis,1
gymtok,viral_video,9
gymtok,perte,11
gymtok,pourtoi,1
gymtok,gym,9
edit,relatable,1
edit,viral,12
edit,dance,6
edit,fyp,23
edit,fy,1
edit,sansiro,1
edit,lazza,1
edit,viral_video,1
edit,perte,5
edit,pourtoi,1
edit,trend,1
edit,tiktokcalcio,6
edit,foryoupage,1
comedy,pov,1
comedy,relatable,1
comedy,viralvideo,1
comedy,fyp,2
comedy,humor,1
comedy,learnfromkhaby,14
ultimopeterpan,viral,5
ultimopeterpan,ultimostadi2025,12
ultimopeterpan,fyp,5
ultimopeterpan,concerto,6
ultimopeterpan,perte,6
ultimopeterpan,ultimo,6
ironia,fyp,2
ironia,travel,1
ironia,napoli,1
ironia,andiamoneiperte,9
ironia,perte,14
viralvideos,viral,3
viralvideos,neiperteee,1
viralvideos,viralvideotiktok,1
viralvideos,viralvideo,2
viralvideos,summer,1
viralvideos,tiktok,2
viralvideos,fyp,5
viralvideos,travel,1
viralvideos,lavoro,1
viralvideos,lazza,1
viralvideos,loveyou,9
viralvideos,humor,1
viralvideos,calcio,1
viralvideos,milano,1
viralvideos,foru,1
viralvideos,italia,1
viralvideos,ai,1
viralvideos,perte,15
voliamoneiperte,viral,10
voliamoneiperte,neiperteee,2
voliamoneiperte,viralvideo,1
voliamoneiperte,fyp,1
voliamoneiperte,andiamoneiperte,1
voliamoneiperte,videoviral,1
voliamoneiperte,italia,1
voliamoneiperte,perte,1
squidgamenetflix,viral,6
squidgamenetflix,trending,6
pov,relatable,2
pov,viralvideo,1
pov,tiktok,1
pov,fyp,7
pov,andiamoneiperte,1
pov,humor,1
pov,roma,1
pov,ai,1
pov,perte,3
pov,gym,1
videoai,videoia,14
videoai,skibidiboppi,9
videoai,forzanapoli,14
relatable,viral,1
relatable,viralvideo,1
relatable,puglia,1
relatable,fyp,14
relatable,tiktokviral,5
relatable,parati,1
relatable,perte,2
relatable,fypシ,1
relatable,foryoupage,5
viral,neiperteee,8
viral,trending,19
viral,janniksinner,1
viral,viralvideotiktok,1
viral,viralvideo,13
viral,summer,2
viral,tiktok,8
viral,fyp,87
viral,sinner,1
viral,fy,5
viral,travel,1
viral,sansiro,2
viral,love,1
viral,napoli,8
viral,lazza,1
viral,concerto,2
viral,car,1
viral,viral_video,4
viral,parati,2
viral,calcio,1
viral,milano,1
viral,foru,3
viral,ai,1
viral,perte,45
viral,ultimo,3
viral,duo,1
viral,fypシ,7
viral,pourtoi,3
viral,trend,2
viral,skibidiboppi,1
viral,foryoupage,13
neiperteee,viralvideo,2
neiperteee,tiktok,1
neiperteee,dance,1
neiperteee,fyp,6
neiperteee,sarachehaipresotuttoelhaibuttatovia,9
neiperteee,lavoro,1
neiperteee,tiktokviral,1
neiperteee,andiamoneiperte,1
neiperteee,videoviral,1
neiperteee,milano,1
neiperteee,italia,1
neiperteee,perte,14
trending,viralvideo,5
trending,tiktok,1
trending,fyp,8
trending,girls,4
trending,tiktokviral,5
trending,car,1
trending,viral_video,1
trending,fypシ,2
trending,pourtoi,1
trending,foryoupage,11
janniksinner,fyp,3
janniksinner,sinner,11
janniksinner,love,1
janniksinner,andiamoneiperte,1
janniksinner,lazza,1
janniksinner,tennis,11
janniksinner,wimbledon,19
viralvideotiktok,tiktok,1
viralvideotiktok,andiamoneiperte,7
viralvideotiktok,foru,1
viralvideotiktok,perte,7
ultimostadi2025,concerto,6
ultimostadi2025,perte,6
ultimostadi2025,ultimo,14
viralvideo,tiktok,2
viralvideo,dance,1
viralvideo,fyp,2
viralvideo,girls,4
viralvideo,videoviral,1
viralvideo,milano,1
viralvideo,ai,1
viralvideo,perte,2
viralvideo,fypシ,4
viralvideo,trend,1
tiktokfootball,calcio,1
tiktokfootball,tiktokcalcio,22
puglia,summer,10
puglia,fyp,1
puglia,roma,1
puglia,perte,8
puglia,foryoupage,7
summer,travel,1
summer,concerto,2
tiktok,fyp,3
tiktok,concerto,2
tiktok,ai,2
tiktok,perte,1
dance,fyp,7
dance,videoviral,1
dance,perte,1
fyp,sinner,2
fyp,fy,21
fyp,travel,4
fyp,sansiro,2
fyp,girls,6
fyp,lavoro,1
fyp,love,3
fyp,tiktokviral,7
fyp,napoli,1
fyp,andiamoneiperte,4
fyp,concerto,2
fyp,car,3
fyp,tennis,1
fyp,viral_video,23
fyp,videoviral,2
fyp,parati,13
fyp,humor,4
fyp,wimbledon,2
fyp,calcio,2
fyp,milano,3
fyp,foru,11
fyp,italia,3
fyp,roma,6
fyp,ai,5
fyp,perte,133
fyp,ultimo,2
fyp,duo,15
fyp,fypシ,14
fyp,pourtoi,11
fyp,trend,23
fyp,gym,10
fyp,temptationisland,7
fyp,matrimonio,7
fyp,skibidiboppi,10
fyp,croatia,10
fyp,verissimo,1
fyp,outfitinspo,1
fyp,foryoupage,19
sinner,lazza,1
sinner,tennis,1
sinner,wimbledon,9
sinner,italia,1
sarachehaipresotuttoelhaibuttatovia,videoviral,9
sarachehaipresotuttoelhaibuttatovia,perte,9
fy,tiktokviral,7
fy,andiamoneiperte,1
fy,ai,2
fy,perte,20
fy,fypシ,1
fy,trend,5
fy,foryoupage,2
travel,love,1
travel,italia,1
travel,ai,1
travel,perte,1
sansiro,lazza,17
sansiro,concerto,13
sansiro,tennis,3
sansiro,viral_video,1
sansiro,wimbledon,2
sansiro,calcio,1
sansiro,milano,21
sansiro,perte,4
girls,trend,5
girls,foryoupage,4
lavoro,perte,1
lavoro,trend,1
love,napoli,1
love,andiamoneiperte,1
love,tennis,1
love,perte,3
love,pourtoi,1
love,trend,3
tiktokviral,andiamoneiperte,1
tiktokviral,perte,1
tiktokviral,foryoupage,5
napoli,andiamoneiperte,8
napoli,calcio,1
napoli,milano,1
napoli,italia,9
napoli,roma,8
napoli,perte,25
andiamoneiperte,lazza,1
andiamoneiperte,car,1
andiamoneiperte,humor,1
andiamoneiperte,milano,1
andiamoneiperte,italia,1
andiamoneiperte,ai,1
andiamoneiperte,perte,24
lazza,concerto,12
lazza,tennis,3
lazza,wimbledon,2
lazza,calcio,1
lazza,milano,20
lazza,perte,3
concerto,milano,10
concerto,perte,1
concerto,ultimo,2
car,foru,4
car,perte,11
loveyou,perte,10
tennis,wimbledon,11
tennis,milano,1
tennis,fypシ,1
viral_video,humor,1
viral_video,milano,1
viral_video,roma,1
viral_video,perte,9
viral_video,fypシ,1
viral_video,pourtoi,1
viral_video,trend,1
viral_video,skibidiboppi,1
viral_video,verissimo,1
viral_video,forzanapoli,1
viral_video,foryoupage,1
videoviral,humor,1
videoviral,perte,9
videoviral,foryoupage,8
parati,humor,8
parati,perte,1
parati,ultimo,1
parati,duo,9
parati,pourtoi,1
parati,gym,6
videoia,ai,9
videoia,skibidiboppi,14
videoia,forzanapoli,14
humor,milano,1
humor,perte,1
wimbledon,milano,1
calcio,italia,1
calcio,pourtoi,1
calcio,tiktokcalcio,3
milano,italia,1
milano,roma,1
milano,ai,1
milano,perte,2
milano,trend,1
foru,italia,9
foru,perte,11
foru,skibidiboppi,1
italia,roma,1
italia,ai,1
italia,perte,14
italia,foryoupage,1
roma,perte,14
roma,ultimo,2
roma,gym,1
ai,perte,9
ai,forzanapoli,9
perte,duo,1
perte,trend,11
perte,tiktokcalcio,1
perte,matrimonio,1
perte,croatia,10
perte,foryoupage,17
fypシ,trend,1
fypシ,foryoupage,4
trend,verissimo,1
trend,foryoupage,1
gym,verissimo,1
temptationisland,matrimonio,7
temptationisland,verissimo,9
skibidiboppi,forzanapoli,14
